brand,key,name,subhead,description,rating,rating_count,ingredients
BenJerrys,7_bj,Chocolate Peanut Butter Split,Chocolate & Banana Ice Creams with Mini Peanut Butter Cups,"We’ve loaded our banana and chocolate ice creams with a chocolatey lot of bite-size PB surprises, so if you find your chocolate-covered, peanut-buttered banana fantasies aren’t fulfilled in every spoonful, we suggest a bigger spoon.",5.0,7,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, PEANUTS, COCONUT OIL, BANANA PUREE, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, MILK, NONFAT MILK, GUAR GUM, NATURAL FLAVORS, LEMON JUICE CONCENTRATE, SALT, COCOA, SOY LECITHIN, VANILLA EXTRACT, CARRAGEENAN"
BenJerrys,11_bj,Bourbon Pecan Pie,"Buttery Bourbon Ice Cream with Pecans, Shortbread Cookie Pieces & a Whiskey Caramel Swirl",Not long ago we scoop-toured through Texas asking you to elect the best of two Texas-inspired flavors. Thanks to you this bourbon-y whirl of pecans and cookies wrapped in whiskey-kissed caramel is now available Tex-clusively!,4.6,9,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CORN SYRUP, PECANS, BUTTER (CREAM, SALT), WHEAT FLOUR, EGG YOLKS, SUGAR, DRIED CANE SYRUP, WHISKEY, DRY MALT EXTRACT (BARLEY), SOYBEAN OIL, SALT, EGGS, CARAMEL COLOR, PEANUT OIL, GUAR GUM, BAKING SODA, CARRAGEENAN, SOY LECITHIN. MAY CONTAIN OTHER TREE NUTS"
HaagenDazs,5_hd,Caramel Soft Dipped Ice Cream Bar,,"Introducing New Soft Dipped Caramel Ice Cream Bars. A delicious pairing of indulgent caramel ice cream with a rich caramel swirl, covered in a soft chocolate truffle coating.",4.9,8,"CARAMEL ICE CREAM: CREAM, SKIM MILK, SUGAR, EGG YOLKS, SWEETENED CONDENSED MILK (CONDENSED MILK SUGAR), CORN SYRUP, SALT, PECTIN, BAKING SODA, VANILLA EXTRACT. CHOCOLATY COATING: SUGAR, COCOA PROCESSED WITH ALKALI, CANOLA OIL, PALM OIL, MILKFAT, SOY LECITHIN. SALTED CARAMEL SWIRL: CORN SYRUP, SWEETENED CONDENSED MILK (CONDENSED MILK SUGAR), CREAM, SUGAR, WATER, BUTTER (CREAM, SALT), SALT, PECTIN, MILKFAT, SOY LECITHIN.
CONTAINS: MILK, EGG AND SOY INGREDIENTS"
HaagenDazs,44_hd,Peppermint Bark Ice Cream Bar,,"Our peppermint bark ice cream bars start with decadent white chocolate ice cream, dipped in thick, dark chocolate, then speckled with cool peppermint candy pieces.",5.0,8,"WHITE CHOCOLATE ICE CREAM: CREAM, SKIM MILK, SUGAR, CORN SYRUP, EGG YOLKS, NATURAL FLAVOR, COCOA BUTTER. DARK CHOCOLATE AND VEGETABLE OIL COATING WITH PEPPERMINT CANDY PIECES: DARK CHOCOLATE (SUGAR, CHOCOLATE, SOY LECITHIN, VANILLA EXTRACT), PEPPERMINT CANDY PIECES: (SUGAR, CORN SYRUP, COCONUT OIL, NATURAL FLAVOR, SOY LECITHIN), COCONUT OIL, SOYBEAN OIL"
Breyers,41_breyers,OREO® Snack Cups 10ct,,"Breyers® vanilla with real OREO®? Yes please! If you’re anything like us, you love Breyers® vanilla and OREO® cookies. So why not combine your love with Breyers® OREO® Cookies & Cream?

Breyers® OREO® even comes in convenient snack cups that are perfectly portioned. Great for parties! Rich, creamy vanilla goodness surrounds those real OREO® cookies and will be sure to bring a smile to your face.

The best news of all is that you can enjoy your favorite cookies and candies combined with the quality of Breyers®. All of our flavors are made with 100% Grade A milk and cream that comes from cows not treated with artificial growth hormones* because we believe the best ingredients make the most delicious products.

Try Breyers® OREO® Cookies & Cream Snack Cups for yourself and leave us a review on , and follow us @Breyers on Instagram!

*The FDA states that no significant difference has been shown between dairy derived from rBST-treated and non-rBST-treated cows.",5.0,2,"SKIM MILK, LIQUID SUGAR, SUGAR, WATER, CREAM, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, OREO COOKIE PIECES, UNBLEACHED ENRICHED FLOUR, WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, SUGAR, AND/OR PALM OIL, AND/OR CANOLA OIL, COCOA (PROCESSED WITH ALKALI), HIGH FRUCTOSE CORN SYRUP, LEAVENING, AND/OR BAKING SODA, AND/OR CALCIUM PHOSPHATE, SALT, SOY LECITHIN, CHOCOLATE, ARTIFICIAL FLAVOR, WHEY, PROPYLENE GLYCOL MONOESTERS, MONO AND DIGLYCERIDES, VEGETABLE GUM (GUAR), NATURAL FLAVOR, CELLULOSE GUM, CARRAGEENAN, VITAMIN A PALMITATE"
